j,i,d,r
 Social Networking," 2169-3285, 2169-3323",26-Jun-15,Suspected editorial misconduct by publisher
 Sociology Mind," 2160-083X, 2160-0848",26-Jun-15,Suspected editorial misconduct by publisher
 Soft Nanoscience Letters," 2160-0600, 2160-0740",26-Jun-15,Suspected editorial misconduct by publisher
 Stem Cell Discovery," 2161-6760, 2161-6787",26-Jun-15,Suspected editorial misconduct by publisher
 Surgical Science," 2157-9407, 2157-9415",26-Jun-15,Suspected editorial misconduct by publisher
 Technology and Investment," 2150-4059, 2150-4067",26-Jun-15,Suspected editorial misconduct by publisher
 Theoretical Economics Letters," 2162-2078, 2162-2086",26-Jun-15,Suspected editorial misconduct by publisher
 Wireless Engineering and Technology," 2152-2294, 2152-2308",26-Jun-15,Suspected editorial misconduct by publisher
 Wireless Sensor Network," 1945-3078, 1945-3086",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of AIDS," 2160-8814, 2160-8822",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Cardiovascular Diseases," 2164-5329, 2164-5337",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Cardiovascular Surgery," 2164-3202, 2164-3210",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Condensed Matter Physics," 2160-6919, 2160-6927",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Mechanics," 2160-049X, 2160-0503",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Nano Science and Engineering," 2161-4954, 2161-4962",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Neuroscience," 2162-2000, 2162-2019",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Nuclear Science and Technology," 2161-6795, 2161-6809",26-Jun-15,Suspected editorial misconduct by publisher
 World Journal of Vaccines," 2160-5815, 2160-5823",26-Jun-15,Suspected editorial misconduct by publisher
 Advances in Clinical Medicine,"2161-8712, 2161-8720",26-Jun-15,Suspected editorial misconduct by publisher
 Advances in Education,"2160-729X, 2160-7303",26-Jun-15,Suspected editorial misconduct by publisher
 Advances in Geosciences,"2163-3967, 2163-3975",26-Jun-15,Suspected editorial misconduct by publisher
 Advances in Porous Flow,"2164-5639, 2164-5663",26-Jun-15,Suspected editorial misconduct by publisher
 Advances in Psychology,"2160-7273, 2160-7281",26-Jun-15,Suspected editorial misconduct by publisher
 Applied Physics,"2160-7567, 2160-7575",26-Jun-15,Suspected editorial misconduct by publisher
 Bioprocess,"2164-5566, 2164-5582",26-Jun-15,Suspected editorial misconduct by publisher
 Communication on Contemporary Anthropology,"1939-0580, 1936-4458",26-Jun-15,Suspected editorial misconduct by publisher
 Computer Science and Application,"2161-8801, 2161-881X",26-Jun-15,Suspected editorial misconduct by publisher
 Finance,"2161-0967, 2161-0975",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Biomedicine,"2161-8976, 2161-8984",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Chemical Engineering and Technology,"2161-8844, 2161-8852",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Data Mining,"2163-145X, 2163-1468",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Food and Nutrition Science,"2166-613X, 2166-6121",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Nanotechnology,"2161-086X, 2161-0878",26-Jun-15,Suspected editorial misconduct by publisher
 Hans Journal of Wireless Communications,"2163-3983, 2163-3991",26-Jun-15,Suspected editorial misconduct by publisher
 Journal of Water Resources Research,"2166-6024, 2166-5982",26-Jun-15,Suspected editorial misconduct by publisher
 Material Sciences,"2160-7613, 2160-7621",26-Jun-15,Suspected editorial misconduct by publisher
 Modern Management,"2160-7311, 2160-732X",26-Jun-15,Suspected editorial misconduct by publisher
 Modern Marketing,"2160-7362, 2160-7370",26-Jun-15,Suspected editorial misconduct by publisher
 Modern Physics,"2161-0916, 2161-0924",26-Jun-15,Suspected editorial misconduct by publisher
 Operations Research and Fuzziology,"2163-1476, 2163-1530",26-Jun-15,Suspected editorial misconduct by publisher
 Optoelectronics,"2164-5450, 2164-5469",26-Jun-15,Suspected editorial misconduct by publisher
 Pure Mathematics,"2160-7583, 2160-7605",26-Jun-15,Suspected editorial misconduct by publisher
 Smart Grid,"2161-8763, 2161-8771",26-Jun-15,Suspected editorial misconduct by publisher
 Sustainable Development,"2160-7540, 2160-7559",26-Jun-15,Suspected editorial misconduct by publisher
EdTechnology Ideas,2331-7124,23-Jun-15,Ceased publishing
"nternational Journal of Management, Economics and Social Sciences (IJMESS)",2304-1366,18-Jun-15,Journal not adhering to Best Practice
Abraham Zelmanov Journal,1654-9163,18-Jun-15,Inactive (has not published in the last calender year)
Acta Iuridica Olomucensia,1801-0288,18-Jun-15,Inactive (has not published in the last calender year)
Acta Universitaria,0188-6266,18-Jun-15,Ceased publishing
Advances In Mathematical And Computational Methods,2169-3315Â ,18-Jun-15,Ceased publishing
African Primates,1093-8966,18-Jun-15,Inactive (has not published in the last calender year)
Ageing Research,2036-7376,18-Jun-15,Inactive (has not published in the last calender year)
Alternative Medicine Studies,2038-9485,18-Jun-15,Inactive (has not published in the last calender year)
altrelettere,1664-6908Â ,18-Jun-15,Inactive (has not published in the last calender year)
Analecta Hermeneutica,1918-7351,18-Jun-15,Inactive (has not published in the last calender year)
"ANALELE UNIVERSITATII ""DUNAREA DE JOS"" DIN GALATI - SERIA ISTORIE",1583-7181,18-Jun-15,Inactive (has not published in the last calender year)
Annals Of African Medicine,1596-3519,18-Jun-15,Inactive (has not published in the last calender year)
Archives Of Oral Research,2236-8027,18-Jun-15,Inactive (has not published in the last calender year)
Archivos de la Sociedad EspaÃ±ola de OftalmologÃ_a,0365-6691,18-Jun-15,Inactive (has not published in the last calender year)
Australian Slavonic And East European Studies,0818-8149,18-Jun-15,Inactive (has not published in the last calender year)
Avances en Sistemas e InformÃ¡tica,1657-7663 ,18-Jun-15,Inactive (has not published in the last calender year)
Balkanologie : Revue d'Ãˆtudes Pluridisciplinaires,1965-0582,18-Jun-15,Inactive (has not published in the last calender year)
Biological And Biomedical Reports,2162-4186Â ,18-Jun-15,Inactive (has not published in the last calender year)
BoletÃ_n de la Sociedad BotÃ¡nica de MÃ©xico,0366-2128,18-Jun-15,Inactive (has not published in the last calender year)
Bonfring International Journal Of Man Machine Interface,2277-5064,18-Jun-15,Inactive (has not published in the last calender year)
Brazilian Journal Of Plant Physiology,1677-9452,18-Jun-15,Inactive (has not published in the last calender year)
Bucharest Working Papers In Linguistics,2069-9239,18-Jun-15,Inactive (has not published in the last calender year)
"Bulletin : Economics, Organisation And Informatics In Healthcare",1318-2927,18-Jun-15,Inactive (has not published in the last calender year)
"Bulletin, Classes des Sciences Mathematiques et Naturelles, Sciences MathÃ©matiques",0561-7332,18-Jun-15,Inactive (has not published in the last calender year)
Business Intelligence Journal,1918-2325,18-Jun-15,Inactive (has not published in the last calender year)
Cellular Therapy And Transplantation,1867-416X,18-Jun-15,Inactive (has not published in the last calender year)
Chemical Bulletin Of Politehnica University Of Timisoara,2069-6310,18-Jun-15,Inactive (has not published in the last calender year)
Chest Disease Reports,2039-4772,18-Jun-15,Inactive (has not published in the last calender year)
Codee Journal,2160-5211,18-Jun-15,Inactive (has not published in the last calender year)
Colorado Research In Linguistics,0884-2035,18-Jun-15,Inactive (has not published in the last calender year)
Communications of the ACS,2090-102X,18-Jun-15,Inactive (has not published in the last calender year)
Computational And Applied Mathematics,1807-0302,18-Jun-15,Inactive (has not published in the last calender year)
Contemporary Marketing Review,2047-041X,18-Jun-15,Inactive (has not published in the last calender year)
Creolica,1762-598X,18-Jun-15,Inactive (has not published in the last calender year)
Cultural Analysis,1537-7873,18-Jun-15,Inactive (has not published in the last calender year)
Culture And Local Governance,1911-7469,18-Jun-15,Inactive (has not published in the last calender year)
Cuneiform Digital Library Bulletin,1540-8760,18-Jun-15,Inactive (has not published in the last calender year)
Current Issues of Business and Law,1822-9530,18-Jun-15,Inactive (has not published in the last calender year)
Cyberjournal For Pentecostal-Charismatic Research,1523-1216Â ,18-Jun-15,Inactive (has not published in the last calender year)
"Cybermetrics : International Journal Of Scientometrics, Informetrics And Bibliometrics",1137-5019,18-Jun-15,Inactive (has not published in the last calender year)
Dar Es Salaam Medical Students' Journal,0856-7212Â ,18-Jun-15,Inactive (has not published in the last calender year)
Derecho Comparado de la InformaciÃ_n,1870-0594,18-Jun-15,Ceased publishing
Digital Medievalist,1715-0736,18-Jun-15,Inactive (has not published in the last calender year)
Doping Journal,1812-948X,18-Jun-15,Inactive (has not published in the last calender year)
Durham Anthropological Journal,1742-2930,18-Jun-15,Inactive (has not published in the last calender year)
E Law - Murdoch University Electronic Journal Of Law,1321-8247,18-Jun-15,Inactive (has not published in the last calender year)
EÃ_ : Revista de Humanidades MÃ©dicas & Estudios Sociales de la Ciencia y la TecnologÃ_a ,1852-4680Â ,18-Jun-15,Inactive (has not published in the last calender year)
Economics And Management Research Projects : An International Journal,2182-0309,18-Jun-15,Inactive (has not published in the last calender year)
Educational Technology Letters,2163-4254,18-Jun-15,Inactive (has not published in the last calender year)
Electronic Antiquity : Communicating The Classics,1320-3606,18-Jun-15,Inactive (has not published in the last calender year)
Electronic-Liquid Crystal Communications (E-Lc),1942-0013,18-Jun-15,Inactive (has not published in the last calender year)
"Elektropika : International Journal Of Electrical, Electronic Engineering And Technology",2180-1541Â ,18-Jun-15,Inactive (has not published in the last calender year)
Enterprise And Work Innovation Studies,2182-5114,18-Jun-15,Inactive (has not published in the last calender year)
Far East Journal Of Marketing And Management,2221-867X,18-Jun-15,Inactive (has not published in the last calender year)
Frankfurter Zeitschrift fÃ_r Musikwissenschaft,1438-857X,18-Jun-15,Ceased publishing
Galicia 21 : Journal of Contemporary Galician Studies,2040-7181,18-Jun-15,Inactive (has not published in the last calender year)
Gastroenterology Insights,2036-7414,18-Jun-15,Inactive (has not published in the last calender year)
Geoscape,1802-1115,18-Jun-15,Inactive (has not published in the last calender year)
Geotropico,1692-0791,18-Jun-15,Inactive (has not published in the last calender year)
GestÃ£o & Tecnologia de Projetos ,1981-1543 ,18-Jun-15,Ceased publishing
Graduate History Review,1925-2455,18-Jun-15,Inactive (has not published in the last calender year)
Hamburg Review Of Social Sciences,1862-3921,18-Jun-15,Ceased publishing
Healthcare Review Online,1173-7956,18-Jun-15,Ceased publishing
Hellenic Orthodontic Review,1108-1279Â ,18-Jun-15,Inactive (has not published in the last calender year)
Human Rights & Human Welfare,1533-0834,18-Jun-15,Inactive (has not published in the last calender year)
IIOAB Letters,2161-3702,18-Jun-15,Inactive (has not published in the last calender year)
Indus Journal Of Management & Social Sciences,2075-6844Â ,18-Jun-15,Inactive (has not published in the last calender year)
InKoj : Interlingvistikaj Kajeroj,2037-4550,18-Jun-15,Inactive (has not published in the last calender year)
Inter-American Journal Of Education For Democracy,1941-7799,18-Jun-15,Inactive (has not published in the last calender year)
International Journal Of Chemistry Research,0976-5689,18-Jun-15,Inactive (has not published in the last calender year)
International Journal Of Computational Cognition,1542-5908,18-Jun-15,Ceased publishing
International Journal Of Emerging Technologies And Society,1835-8780,18-Jun-15,Inactive (has not published in the last calender year)
International Journal Of Environmental Sciences And Research,2249-9105,18-Jun-15,Ceased publishing
International Journal Of Health Research,1596-9886,18-Jun-15,Inactive (has not published in the last calender year)
International Journal Of Myriapodology,1875-2535,18-Jun-15,Inactive (has not published in the last calender year)
International Journal Of Natural Sciences,2221-1012,18-Jun-15,Inactive (has not published in the last calender year)
International Magazine On Advances In Computer Science And Telecommunications,1857-7202,18-Jun-15,Inactive (has not published in the last calender year)
International Nano Letters,2228-5326,18-Jun-15,Inactive (has not published in the last calender year)
International Quarterly Of Sport Science,2060-9469,18-Jun-15,Ceased publishing
Internet Electronic Journal Of Molecular Design,1538-6414,18-Jun-15,Inactive (has not published in the last calender year)
Istanbul Journal of Sociological Studies,1304-0243,18-Jun-15,Ceased publishing
Journal Of Aboriginal Health,1710-0712,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Aerospace Science And Technology,1735-2134,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Analytical Science & Technology,2093-3134,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Commerce ,2218-8118 ,18-Jun-15,Ceased publishing
Journal Of Digital Information,1368-7506,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of E-Media Studies,1938-6060Â ,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Emerging Knowledge On Emerging Markets,1946-651X,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Epithelial Biology & Pharmacology,1875-0443,18-Jun-15,Ceased publishing
Journal Of Genetic Genealogy,1557-3796,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Geodesy And Geoinformation,2147-1339,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Information Architecture,1903-7260,18-Jun-15,Inactive (has not published in the last calender year)
"Journal Of Information, Information Technology, And Organizations",1557-1327,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Interdisciplinary Music Studies (Jims),1306-9055,18-Jun-15,Inactive (has not published in the last calender year)
"Journal Of Literature, Culture And Media Studies",0974-7192,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Macrodynamic Analysis,1499-1586Â ,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Mathematical Analysis,2217-3412,18-Jun-15,Ceased publishing
Journal Of Medical Education And Research,2249-9660,18-Jun-15,Inactive (has not published in the last calender year)
"Journal Of Men, Masculinities And Spirituality",1177-2484,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Nuclear And Radiation Physics,1687-420X,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Pharmacy And Phytotherapeutics,2321-5895,18-Jun-15,Ceased publishing
Journal Of Physical Agents,1888-0258,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Physical Therapy,2079-9209,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Phytology,2075-6240,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of Techno-Social,2229-8940,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of The Brazilian Society Of Mechanical Sciences And Engineering,1806-3691Â ,18-Jun-15,Inactive (has not published in the last calender year)
Journal Of The Islamic Medical Association Of North America,0899-8299,18-Jun-15,Inactive (has not published in the last calender year)
Journal of World-Historical Information,2169-0812,18-Jun-15,Inactive (has not published in the last calender year)
Junctures : The Journal For Thematic Dialogue,1179-8912,18-Jun-15,Inactive (has not published in the last calender year)
Leeds International Classical Studies,1477-3643,18-Jun-15,Inactive (has not published in the last calender year)
Living Reviews In Democracy,1663-0165,18-Jun-15,Inactive (has not published in the last calender year)
MalaCo,1778-3941,18-Jun-15,Ceased publishing
Marburg Journal of Religion,1612-2941,18-Jun-15,Inactive (has not published in the last calender year)
Mars : The International Journal Of Mars Science And Exploration,1548-1921Â ,18-Jun-15,Inactive (has not published in the last calender year)
MathÃ©matiques et sciences humaines,1950-6821,18-Jun-15,Inactive (has not published in the last calender year)
Mediterranean Journal Of Educational Studies,1024-5375,18-Jun-15,Inactive (has not published in the last calender year)
Nephrology Reviews,2035-813X,18-Jun-15,Inactive (has not published in the last calender year)
New Jersey History : Studies In State And Regional History,2151-3619,18-Jun-15,Inactive (has not published in the last calender year)
Nirmana,0215-0905,18-Jun-15,Inactive (has not published in the last calender year)
Northwest Journal Of Linguistics,1718-8563Â ,18-Jun-15,Inactive (has not published in the last calender year)
Nurture,1994-1633Â ,18-Jun-15,Inactive (has not published in the last calender year)
Ontology Studies,2255-5862,18-Jun-15,Inactive (has not published in the last calender year)
Open Applied Physics Journal,1874-1835,18-Jun-15,Ceased publishing
Open Atherosclerosis & Thrombosis Journal,1876-5068,18-Jun-15,Ceased publishing
Open Biology Journal,1874-1967Â ,18-Jun-15,Inactive (has not published in the last calender year)
Open Circulation & Vascular Journal,1877-3826,18-Jun-15,Inactive (has not published in the last calender year)
Open Endocrinology Journal,1874-2165,18-Jun-15,Inactive (has not published in the last calender year)
Open Environmental Pollution & Toxicology Journal,1876-3979,18-Jun-15,Ceased publishing
Open Longevity Science,1876-326X,18-Jun-15,Ceased publishing
Open Macromolecules Journal,1874-3439,18-Jun-15,Ceased publishing
Open Medical Devices Journal,1875-1814,18-Jun-15,Ceased publishing
Open Numerical Methods Journal,1876-3898,18-Jun-15,Ceased publishing
Open Ocean Engineering Journal,1874-835XÂ ,18-Jun-15,Inactive (has not published in the last calender year)
Open Pharmacology Journal,1874-1436,18-Jun-15,Ceased publishing
Open Tissue Engineering And Regenerative Medicine Journal,1875-0435,18-Jun-15,Inactive (has not published in the last calender year)
Open Women's Health Journal,1874-2912,18-Jun-15,Ceased publishing
Open Zoology Journal,1874-3366,18-Jun-15,Inactive (has not published in the last calender year)
Optics And Photonics Letters,1793-7140,18-Jun-15,Inactive (has not published in the last calender year)
Opuscula Archaeologica,0473-0992,18-Jun-15,Inactive (has not published in the last calender year)
Peninsula : A Journal Of Relational Politics,1925-525X,18-Jun-15,Inactive (has not published in the last calender year)
Performance And Spirituality,2157-4049,18-Jun-15,Inactive (has not published in the last calender year)
Perspectives : International Postgraduate Journal Of Philosophy,2009-1842,18-Jun-15,Inactive (has not published in the last calender year)
Physicians Academy,0973-998XÂ ,18-Jun-15,Inactive (has not published in the last calender year)
Physics And Philosophy, 1863-7388Â  ,18-Jun-15,Inactive (has not published in the last calender year)
Pitt Political Review,2160-5807,18-Jun-15,Inactive (has not published in the last calender year)
Plato,2079-7567,18-Jun-15,Inactive (has not published in the last calender year)
PolibotÃ¡nica,1405-2768,18-Jun-15,Inactive (has not published in the last calender year)
Prim@ Facie,1678-2593,18-Jun-15,Inactive (has not published in the last calender year)
Provincial China,1326-7612Â ,18-Jun-15,Inactive (has not published in the last calender year)
Public Administration And Management,1087-0091,18-Jun-15,Inactive (has not published in the last calender year)
Quotidian : Dutch Journal For The Study Of Everyday Life,1879-534X,18-Jun-15,Inactive (has not published in the last calender year)
Ramon Llull Journal Of Applied Ethics,2229-578X,18-Jun-15,Inactive (has not published in the last calender year)
Rasenna,1940-073X,18-Jun-15,Inactive (has not published in the last calender year)
Reconect,2066-2556,18-Jun-15,Inactive (has not published in the last calender year)
Research And Practice In Human Resource Management,0218-5180,18-Jun-15,Inactive (has not published in the last calender year)
Research Journal Of Information Technology,2041-3106,18-Jun-15,Inactive (has not published in the last calender year)
Revista Brasileira de Botanica,1806-9959Â ,18-Jun-15,Inactive (has not published in the last calender year)
Revista De Stiinte Politice,1584-224X,18-Jun-15,Ceased publishing
Revista do Instituto Florestal,0103-2674,18-Jun-15,Inactive (has not published in the last calender year)
Revista ElectrÃ_nica de DidÃ¡ctica de la TraducciÃ_n y la InterpretaciÃ_n ,1989-4376,18-Jun-15,Inactive (has not published in the last calender year)
Revista Empresarial Inter Metro,1931-1966Â ,18-Jun-15,Inactive (has not published in the last calender year)
Revista HMiC,1696-4403,18-Jun-15,Inactive (has not published in the last calender year)
Revista Internacional de la PequeÃ±a y Mediana Empresa,1989-1725,18-Jun-15,Inactive (has not published in the last calender year)
Rhythmos,1792-7919,18-Jun-15,Ceased publishing
Rurals : Review Of Undergraduate Research In Agricultural And Life Sciences,1559-3339,18-Jun-15,Inactive (has not published in the last calender year)
Rutherford Journal,1177-1380,18-Jun-15,Inactive (has not published in the last calender year)
Sherub Doeme : The Research Journal Of Sherubtse College,2308-5452,18-Jun-15,Inactive (has not published in the last calender year)
Signs : International Journal Of Semiotics,1902-8822,18-Jun-15,Inactive (has not published in the last calender year)
Slavica TerGestina,1592-0291Â ,18-Jun-15,Inactive (has not published in the last calender year)
Social Science Letters,2163-4130Â ,18-Jun-15,Ceased publishing
Software Engineering : An International Journal,2249-9342,18-Jun-15,Inactive (has not published in the last calender year)
Speleogenesis And Evolution Of Karst Aquifers,1814-294XÂ ,18-Jun-15,Inactive (has not published in the last calender year)
Sri Ramachandra Journal Of Medicine,0973-9939,18-Jun-15,Inactive (has not published in the last calender year)
Stem Cell Studies,2038-9566,18-Jun-15,Inactive (has not published in the last calender year)
Stigma Research And Action,2210-5174,18-Jun-15,Inactive (has not published in the last calender year)
Stm-Online,1403-5715,18-Jun-15,Inactive (has not published in the last calender year)
Structural Engineering / Earthquake Engineering,0289-8063,18-Jun-15,Inactive (has not published in the last calender year)
Studi Linguistici e Filologici Online,1724-5230Â ,18-Jun-15,Inactive (has not published in the last calender year)
Studia Humaniora Tartuensia,1406-6203,18-Jun-15,Inactive (has not published in the last calender year)
"Studii si Cercetari de Istoria Artei : Teatru, MuzicÄƒ, Cinematografie ",2067-5119Â ,18-Jun-15,Inactive (has not published in the last calender year)
Surveys In Approximation Theory,1555-578XÂ ,18-Jun-15,Inactive (has not published in the last calender year)
Telkomnika,1693-6930,18-Jun-15,Inactive (has not published in the last calender year)
The Brock Review,1188-9071,18-Jun-15,Inactive (has not published in the last calender year)
The Interdisciplinary Journal Of International Studies,1602-9097,18-Jun-15,Inactive (has not published in the last calender year)
The Internet Journal Of Mental Health,1531-2941,18-Jun-15,Ceased publishing
The Jury Expert,1943-2208,18-Jun-15,Journal is no longer open access
Thoracic Surgical Science,1614-9777,18-Jun-15,Ceased publishing
Trends In Evolutionary Biology,2036-265X,18-Jun-15,Ceased publishing
Uic Research Journal,1656-0604,18-Jun-15,Inactive (has not published in the last calender year)
Ultrasound Anesthesia Journal,2281-8499,18-Jun-15,Inactive (has not published in the last calender year)
Urban Habitats,1541-7115,18-Jun-15,Inactive (has not published in the last calender year)
Vegetable Crops Research Bulletin,1898-7761,18-Jun-15,Inactive (has not published in the last calender year)
Vet Scan,0973-6980,18-Jun-15,Inactive (has not published in the last calender year)
William James Studies,1933-8295Â ,18-Jun-15,Inactive (has not published in the last calender year)
Writing Technologies,1754-9035,18-Jun-15,Inactive (has not published in the last calender year)
Logistics Journal : Nicht-referierte VerÃ¶ffentlichungen,1860-5923,17-Jun-15,Journal not adhering to Best Practice
Hadashot Arkheologiyot â€“ Excavations and Surveys in Israel,1565-043X,17-Jun-15,Journal not adhering to Best Practice
Arachnologische Mitteilungen,2199-7233,17-Jun-15,Journal not adhering to Best Practice
Arachnologische Mitteilungen,2199-7233,17-Jun-15,Journal not adhering to Best Practice
"Journal of Project, Program & Portfolio Management",1838-7845,15-Jun-15,Ceased publishing
Provincial China,1326-7612,15-Jun-15,Ceased publishing
Ethnicity and Race in a Changing World : A Review Journal,1758-8685,15-Jun-15,Ceased publishing
Advances in Mechanical Engineering (IERI),2160-0619,15-Jun-15,Website URL no longer works
Social Science Letters,2163-4130,15-Jun-15,Website URL no longer works
Educational Technology Letters,2163-4246,15-Jun-15,Website URL no longer works
Advances in Mathematical and Computational Methods,2160-0635,15-Jun-15,Website URL no longer works
Information Engineering Letters ,2163-4114,15-Jun-15,Website URL no longer works
Â Lecture Notes in Information Technology,2070-1918,15-Jun-15,Website URL no longer works
International Journal of Environmental and Science Education,1306-3065,15-Jun-15,"Journal not adhering to Best Practice"
Annales de Toxicologie Analytique,0768-598X,15-Jun-15,Ceased publishing
Clinical Medicine Insights : Dermatology,1179-5492,15-Jun-15,Ceased publishing
Autism Insights,1179-5964,15-Jun-15,Ceased publishing
Economia Global e GestÃ£o,0873-7444,1-Jun-15,Ceased publishing
SouthEast Europe Journal of Soft Computing,2233-1859,30-May-15,No longer open access
"International Journal of Science, Environment and Technology",2277-663X,26-May-15,Journal not adhering to Best Practice
International Journal of Research in Computer Applications and Robotics,2320-7345,26-May-15,Journal not adhering to Best Practice
KoÅŸuyolu Kalp Dergisi,1300-8706,26-May-15,No longer open access
Global Journal of Enterprise Information System,0975-1432,26-May-15,No longer open access
Missouri Journal of Mathematical Sciences,0899-6180,26-May-15,No longer open access
Alasbimn Journal,0717-4055,26-May-15,Ceased publishing
eMinds : International Journal on Human-Computer Interaction,1697-9613,26-May-15,Inactive (has not published in the last calender year)
Westminster Papers in Communication and Culture,1744-6708,26-May-15,Ceased publishing
International Socialism,0020-8736,26-May-15,Journal not adhering to Best Practice
Bulletin of the American Society for Information Science and Technology,1931-6550,26-May-15,Journal not adhering to Best Practice
Aquatic Biosystems ,2046-9063,20-May-15,BMC stopped publishing
Cough,1745-9974,20-May-15,BMC stopped publishing
BMC Medical Physics,1756-6649,20-May-15,BMC stopped publishing
International Journal of Computer Science and Mobile Computing,2320-088X,18-May-15,Journal not adhering to Best Practice
Ganpat University Journal of Engineering & Technology,2231-2382,4-May-15,Web site URL no longer works
Journal: Interdisciplinary Political Studies,2039-8573,4-May-15,Web site URL no longer works
United Academics Journal of Social Sciences,2212-5736,4-May-15,Web site URL no longer works
Web Journal of Current Legal Issues,1360-1326,4-May-15,Web site URL no longer works
Cancer Treatment Communications,2213-0896,27-Apr-15,No longer open access
African Technology Development Forum Journal,1817-2008,23-Apr-15,Ceased publishing
Applied Semiotics,1204-6140,23-Apr-15,Ceased publishing
ASEAN Journal of Teaching & Learning in Higher Education,1985-5826,23-Apr-15,Ceased publishing
Electronic Journal Of Structural Engineering,1443-9255,23-Apr-15,Ceased publishing
Empathy : Jurnal Fakultas Psikologi,2303-114X,23-Apr-15,Ceased publishing
Essays in Education,1527-9359,23-Apr-15,Ceased publishing
EvropskÃ¡ VolebnÃ_ Studia,1801-6545,23-Apr-15,Ceased publishing
Florida Atlantic Comparative Studies Journal,1088-4610,23-Apr-15,Ceased publishing
Gay and Lesbian Issues and Psychology Review,1833-4512,23-Apr-15,Ceased publishing
General And Applied Plant Physiology,1312-8183,23-Apr-15,Ceased publishing
GeologÃ_a Colombiana,0072-0992,23-Apr-15,Ceased publishing
Hepatitis B Annual,0972-9747,23-Apr-15,Ceased publishing
International Journal Of Applied Engineering Research,0976-4259,23-Apr-15,Ceased publishing
International Journal Of Mormon Studies,1757-5532,23-Apr-15,Ceased publishing
Janus Head,1524-2269,23-Apr-15,Ceased publishing
Journal of Culture Collections,1310-8360,23-Apr-15,Ceased publishing
Journal Of Mahani Mathematical Research Center,2251-7952,23-Apr-15,Ceased publishing
Journal Of Southern Academic And Special Librarianship,1525-321X,23-Apr-15,Ceased publishing
Jurnal Citizenship,2088-7396,23-Apr-15,Ceased publishing
Jurnal Informatika,1978-0524,23-Apr-15,Ceased publishing
Mollusca,1864-5127,23-Apr-15,Ceased publishing
Orientalia Suecana,0078-6578,23-Apr-15,Ceased publishing
ParasitologÃ_a latinoamericana,0717-7704,23-Apr-15,Ceased publishing
Pharmacia,0976-9692,23-Apr-15,Ceased publishing
Silence,1758-907X,23-Apr-15,Ceased publishing
South Central Music Bulletin,1545-2271,23-Apr-15,Ceased publishing
Southwest Journal Of Criminal Justice,1939-442X,23-Apr-15,Ceased publishing
Tabularia : Sources Ã‰crites de la Normandie MÃ©diÃ©vale,1630-7364,23-Apr-15,Ceased publishing
The Heroic Age : A Journal Of Early Medieval Northwestern Europe,1526-1867,23-Apr-15,Ceased publishing
The International Journal Of The Creative Arts In Interdisciplinary Practice,1911-9755,23-Apr-15,Ceased publishing
Universal Journal Of Computer Science And Engineering Technology,2219-2158,23-Apr-15,Ceased publishing
Vulpia,1540-3599,23-Apr-15,Ceased publishing
Working Papers In Functional Grammar,0924-1205,23-Apr-15,Ceased publishing
Asia-Pacific Journal of Social Sciences,2229-5801,20-Apr-15,Web site URL no longer works
Portularia : Revista de Trabajo Social,1578-0236,20-Apr-15,Web site URL no longer works
Saudi Dental Journal,1013-9052,20-Apr-15,Web site URL no longer works
Recent Research in Science and Technology,2076-5061,13-Apr-15,Web site URL no longer works
African Zoology,1562-7020,7-Apr-15,No longer open access
Advanced Studies in Biology ,1313-9495,2-Apr-15,Journal not adhering to Best Practice
Advanced Studies in Medical Sciences ,1314-7684,2-Apr-15,Journal not adhering to Best Practice
Advanced Studies in Theoretical Physics,1313-1311,2-Apr-15,Journal not adhering to Best Practice
